"e, e",kb. 1 huruf kelima abjad Inggris.  2 Mus.: nada  E.
emeritus,kb. pensiun dengan hormat dan boleh memakai gelar kedudukannya.
emery,"kb. amril, batu gosok. e. cloth kain ampelas."
emetic,"kb. obat emesis, pembuat muntah."
emigrant,kb. emigran.
emigrate,kki. beremigrasi.
emigration,kb. emigrasi.
eminence,"kb. 1 keutamaan, keunggulan, kedudukan terkemuka. 2 kebesaran, kemasyuran. 3 (hill) bukit, tempat yang tinggi."
eminent,"ks. ulung, unggul, terkenal. -eminently kk. nyata, sungguh."
emissary,"kb. (j. -ries) utusan, wakil, duta."
emission,"kb. pengeluaran, pemancaran, emisi."
emit,"kkt. (emitted) memancarkan (heat, light)."
emolument,"kb. pembayaran, honorarium."
emotion,"kb. (perasaan) emosi, renjana. This appeals to the emotions Sandiwara ini menggugah perasaan hati."
emotional,"ks. emosional. e. plea pembelaan yang mengharukan, pembelaan yang penuh perasaan."
empathy,kb. empati.
emperor,kb. kaisar.
emphasis,kb. 1 tekanan. to put e. (up) on memberi tekanan pada.  2 perhatian. There is much e. on space Banyak sekali perhatian pada ruang angkasa.
emphasize,"kkt. menekankan, menegaskan, memberi tekanan pada. to e. apoint menegaskan pendapat."
emphatic,ks. tegas. He's e. in his demands Dia tegas dalam tuntutannya.  -emphatically kk. dengan tegas / sungguh-sungguh.
emphysema,"kb. emp(h)isema, penyakit bengkak pada paru-paru karena pembuluh darahnya kemasukan udara."
empire,kb. kekaisaran. 2 kerajaan. British E. kerajaan Inggris.
empirical,ks. empiris. e. data kenyataan-kenyataan yang empiris.
emplacement,kb. tempat mendudukkan meriam.
emplane,kki. naik kapal terbang.
employ,"kb. to be in the e. of bekerja pada. -kkt. 1 memperkerjakan. 2 menggunakan, memakai."
employable,ks. dapat dipekerjakan.
employee,"kb. pegawai, pekerja, karyawan, karyawati (fem.). -employees j. personil, para karyawan."
employer,"kb. majikan, induk semang."
employment,"kb. pekerjaan, jabatan. e. agency/bureau kantor penempatan tenaga."
emporium,"kb. 1 toko besar/serba ada. 2 pasar, pusat perniagaan/perdagangan."
empower,"kkt. menguasakan, memberi kuasa/wewenang kepada."
empress,kb. kaisar wanita.
emptied,lih  EMPTY.
empties,lih  EMPTY.
emptiness,"kb. kekosongan, kehampaan."
empty,"kb. (j. -ties) 1 barang kosong. 2 botol kosong. 3 RR. gerbong kosong. -ks. kosong, hampa. -kkt. (emptied) 1 mengosongkan. 2 menuangkan. -kki. bermuara, mengalir. -empty-handed ks. dengan tangan kosong. empty-headed ks. bodoh, goblok, berkepala dingin."
emulate,kkt. berusaha menyamai atau melebihi. to e. o's favorite actor berusaha menandingi aktor kesayangannya.
emulsify,kkt. (emulsified) membuat menjadi emulsi.
emulsion,"kb. emulsi, emulsa."
en,kb. huruf n.
en bloc,"sekaligus, bersama-sama, serentak."
enable,"kkt. memungkinkan, membolehkan. A degree will e. s.o to secure a better position Gelar kesarjanaan akan memungkinkan seseorang untuk memperoleh kedudukan yang lebih baik."
enact,"kkt. 1 membuat, menjadikan.  to e. a law menjadikan undang-undang, mengundangkan. 2 memainkan, memerankan. to e. a role (in a play, film) memainkan peranan."
enactment,"kb. 1 pengundangan, pengumuman, pembuatan. e. of a law pengundangan sebuah undang - undang. 2 undang-undang."
enamel,"kb. 1 email, cet halus. 2 lapis gigi yang keras, glasir, lapis email (of teeth). -kkt. mengemail, melapisi dengan porslen."
enamelware,kb. barang-barang dari email.
enamored,ks. 1 terpikat. He was e. of the actress Dia terpikat pada/oleh aktris itu. 2keranjingan. She's e. of ice cream Dia keranjingan eskrim.
enc.,[enclosure] lampiran
encamp,kki. berkemah.
encampment,kb. tempat perkemahan.
encephalitis,kb. radang otak.
